term,name,ename,sex,party,partyGroup,areaName,committee,onboardDate,degree,tel,experience,fax,addr,picUrl,leaveFlag,leaveDate,leaveReason,
11,丁學忠,TINGHsueh-Chung,男,中國國民黨,中國國民黨,雲林縣第1選舉區,第11屆第1會期：內政委員會;第11屆第2會期：內政委員會;,2024/02/01,國立虎尾科技大學碩士學位,國會研究室：02-2358-8156;虎尾聯合服務處：05-633-3789;北港聯合服務處：05-783-1116,第18、19屆虎尾鎮鎮長第19、20屆虎尾鎮民代表會主席雲林縣鄉鎮市民代表會主席聯誼會會長第18屆虎尾鎮民代表雲林縣體育會副理事長雲林縣虎尾鎮體育會理事長崇德國中第4屆校友會理事長虎尾鎮立仁國小家長會長,國會研究室：02-2358-8165;虎尾聯合服務處：05-632-9166;北港聯合服務處：05-783-1171,國會研究室：100224台北市中正區濟南路1段3之1號0708室;虎尾聯合服務處：632004雲林縣虎尾鎮德興里北平路26號;北港聯合服務處：651002雲林縣北港鎮西勢里民主路71-5號,http://www.ly.gov.tw//Images/Legislators/110001.jpg,否,,,
11,牛煦庭,NIU，Hsu-Ting,男,中國國民黨,中國國民黨,桃園市第1選舉區,第11屆第1會期：內政委員會;第11屆第2會期：內政委員會;,2024/02/01,龜山國小、大有國中、武陵高中;國立政治大學外交學系學士;倫敦政經學院（LSE）國際政治經濟學碩士,國會研究室：02-2358-8241;龜山服務處：03-397-3543;蘆竹服務處：03-222-2714,第二屆、第三屆桃園市議員國民黨桃園市黨部發言人國民黨桃園市黨部 「國民學堂」 專案執行秘書、執行長桃園市五人制足球協會總幹事,國會研究室：02-2358-8245;龜山服務處：03-329-9209,國會研究室：100221台北市中正區青島東路1號3111室;龜山服務處：333010桃園巿龜山區文化二路185巷10號1樓;蘆竹服務處：338018桃園巿蘆竹區新南路一段124號,http://www.ly.gov.tw//Images/Legislators/110002.jpg,否,,,
11,王世堅,WANGSHIH-CHIEN,男,民主進步黨,民主進步黨,臺北市第2選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;,2024/02/01,文化大學應用化學研究所碩士,國會研究室：02-2358-6868,第8.9.11.12.13.14屆台北市議員                               第6屆立法委員,國會研究室：02-2358-6870,國會研究室：100221台北市中正區青島東路1號3203室,http://www.ly.gov.tw//Images/Legislators/110003.jpg,否,,,
11,王育敏,YU MIN WANG,女,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第11屆第1會期：社會福利及衛生環境委員會;第11屆第2會期：社會福利及衛生環境委員會;,2024/02/01,東海大學社會工作學系學士;東海大學社會工作學系碩士,國會研究室：02-2358-6296,兒童福利聯盟基金會執行長總統府人權諮詢小組委員立法委員中國國民黨文傳會主委、副秘書長台中市副市長第八、九屆立法委員,國會研究室：02-2358-6300,國會研究室：100008台北市中正區青島東路10號3505室,http://www.ly.gov.tw//Images/Legislators/110004.jpg,否,,,
11,王定宇,WANGTING-YU,男,民主進步黨,民主進步黨,臺南市第6選舉區,第11屆第1會期：外交及國防委員會;第11屆第2會期：外交及國防委員會;,2024/02/01,國立臺北大學企業管理博士;國立成功大學企業管理碩士;國立成功大學外文系,國會研究室：02-2358-8211;南關線服務處：06-330-2318;東區服務處：06-238-8088,台南市第15、16屆市議員第一屆臺南直轄市議員第九、十、十一屆立法委員民進黨第15~20屆中執委民進黨第18~20屆中常委,國會研究室：02-2358-8215;南關線服務處：06-338-7412;東區服務處：06-236-6188,國會研究室：100221台北市中正區青島東路1號3205室;南關線服務處：711012台南市歸仁區中山路三段70號;東區服務處：701011台南市東區裕農路296-21號,http://www.ly.gov.tw//Images/Legislators/110005.jpg,否,,,
11,王美惠,WangMei-Hui,女,民主進步黨,民主進步黨,嘉義市選舉區,第11屆第1會期：內政委員會;第11屆第1會期：經費稽核委員會;第11屆第2會期：內政委員會;第11屆第2會期：經費稽核委員會;,2024/02/01,國立嘉義大學管理碩士;大同技術學院,國會研究室：02-2358-8561;嘉義服務處：05-277-9699,民主進步黨全國黨代表立法院第十屆立法委員立法院第十屆第4、5會期經費稽核委員會立法院第十屆第6會期內政委員會擔任召集委員立法院第十屆第5會期民進黨黨團副書記長嘉義市議會第七、八、九、十屆議員前嘉義市議員江熙哲服務處主任,國會研究室：02-2358-8565;嘉義服務處：05-277-6029,國會研究室：100224台北市中正區濟南路1段3之1號1105室;嘉義服務處：600013嘉義市東區公明路152號,http://www.ly.gov.tw//Images/Legislators/110006.jpg,否,,,
11,王鴻薇,wang hung wei,女,中國國民黨,中國國民黨,臺北市第3選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;第11屆第2會期：程序委員會;,2024/02/01,國立政治大學新聞學系;北一女中;仁愛國中;民權國小,國會研究室：02-2358-8356,第10.11屆立法委員臺北市議會第10、11、12、13、14屆議員聯合報大台北中心主任聯合報經濟組組長、召集人聯合晚報經濟組組長,國會研究室：02-2358-8050,國會研究室：100224台北市中正區濟南路1段3之1號0203室,http://www.ly.gov.tw//Images/Legislators/110007.jpg,否,,,
11,伍麗華Saidhai‧Tahovecahe,WuLi-Hua,女,民主進步黨,民主進步黨,山地原住民選舉區,第11屆第1會期：財政委員會;第11屆第2會期：財政委員會;,2024/02/01,國立屏東大學教育行政研究所博士;屏東師範學院國民教育硏究所碩士（85年－87年）;屏東師範學院（80年－84年）;屏東師專（73年－78年）,國會研究室：02-2358-8258;屏東服務處：08-723-5625,屏東縣立泰武國小校長屏東縣立地磨兒國小校長屏東縣國教輔導團國語文領域輔導員、主任輔導員、課程督學、召集人南一書局國語文領域教科書編輯委員屏東縣原住民族教育政策發展委員教育部原住民族教育政策委員屏東縣原住民族語言發展委員國立屏東教育大學社發系/文經系兼任講師（現國立屏東大學）屏東縣原住民部落大學校長行政院原住民基本法第一屆推動委員十二年國民基本教育總綱研修代表委員十二年國民基本教育原住民族語文領域副召集人台灣創教育協會理事原住民族文化事業基金會第二屆董事為台灣而教（TFT）基金會第一屆董事新境界文教基金會原住民小組/教育小組總統府原住民族歷史正義與轉型正義委員會委員教育部USR推動中心委員屏東縣仁愛國小傑出校友高雄市私立普門高級中學傑出校友屏東師專傑出校友（現國立屏東大學）屏東縣政府原住民處處長立法院第十屆立法委員民主進步黨原住民族事務部主任,國會研究室：02-2358-8260;屏東服務處：08-723-5625,國會研究室：100224台北市中正區濟南路1段3之1號2101室;屏東服務處：900021屏東縣屏東市香揚巷58號,http://www.ly.gov.tw//Images/Legislators/110008.jpg,否,,,
11,江啟臣,CHIANG CHI-CHEN,男,中國國民黨,中國國民黨,臺中市第8選舉區,第11屆第1會期：外交及國防委員會;第11屆第2會期：外交及國防委員會;,2024/02/01,美國南卡羅萊納大學國際關係博士;美國匹茲堡大學公共暨國際事務學院國際事務碩士;國立政治大學外交學系學士;台中一中;豐南國中;瑞穗國小,副院長室：02-2358-6726;豐原服務處：04-2515-9998;東勢服務處：04-2577-3099,中華民國第八、九、十屆立法委員立法院中華民國與新加坡國會議員友好協會會長台灣-英國國會議員友好協會會長立法院外交及國防委員會召集委員財團法人新北市啟思民本教育基金會董事長中國國民黨主席中國國民黨立法院黨團第九屆第六、七會期總召中國國民黨立法院黨團第九屆第二會期書記長行政院新聞局局長、東吳大學政治系專任副教授台灣經濟研究院國際處代處長中華台北APEC研究中心副執行長太平洋經濟合作理事會（PECC）中華民國委員會副秘書長台灣新世代關懷協會理事長行政院一等功績獎章時代雜誌（TIME）評選為「次世代百大人物」中央社二○○六年台灣十大潛力人物,副院長室：02-2358-6730;豐原服務處：04-2515-6798;東勢服務處：04-2577-3167,副院長室：100224台北市中正區濟南路1段3之1號12樓;豐原服務處：420076臺中市豐原區豐原大道四段165號;東勢服務處：423020臺中市東勢區公園路36號,http://www.ly.gov.tw//Images/Legislators/110009.jpg,否,,,
11,何欣純,HO HSIN-CHUN,女,民主進步黨,民主進步黨,臺中市第7選舉區,第11屆第1會期：交通委員會;第11屆第2會期：交通委員會;,2024/02/01,英國約克大學婦女研究碩士;國立成功大學;臺中女中;成功國中;塗城國小,國會研究室：02-2358-8388;大里服務處：04-2483-6527;太平服務處：04-2276-3111,第八、九、十、十一屆立法委員立法院民主進步黨黨團幹事長、書記長立法院教育及文化委員會、交通委員會召集委員第一屆大臺中市議員第十五、十六屆臺中縣議員,國會研究室：02-2358-8390;大里服務處：04-2482-8743;太平服務處：04-2276-3555,國會研究室：100224台北市中正區濟南路1段3之1號0301室;大里服務處：412015臺中市大里區大里路62號;太平服務處：411042臺中市太平區新平路二段142號,http://www.ly.gov.tw//Images/Legislators/110010.jpg,否,,,
11,吳沛憶,WUPEI-YI,女,民主進步黨,民主進步黨,臺北市第5選舉區,第11屆第1會期：教育及文化委員會;第11屆第2會期：教育及文化委員會;,2024/02/01,清華大學社會學研究所碩士;台灣大學政治學系政治理論組學士;景美女中,國會研究室：02-2358-6166,第13、14屆台北市議員美國國務院國際領袖台灣代表新境界智庫文化政策諮詢委員蔡英文總統競選總部副主任民進黨發言人台北市體育總會理事東園球類運動推廣協會榮譽理事長,國會研究室：02-2358-6170,國會研究室：100224台北市中正區濟南路1段3之1號0408室,http://www.ly.gov.tw//Images/Legislators/110011.jpg,否,,,
11,吳宗憲,WuTsung-Hsien,男,中國國民黨,中國國民黨,全國不分區及僑居國外國民,第11屆第1會期：司法及法制委員會;第11屆第1會期：程序委員會;第11屆第2會期：司法及法制委員會;第11屆第2會期：程序委員會;,2024/02/01,國立台灣大學工業工程碩士,國會研究室：02-2358-6411,檢察官警察大學講師台中科大副教授級專門技術人員人工智慧法律國際研究基金會副執行長台灣大學公衛學院健康政策管理所博士生,國會研究室：02-2358-6415,國會研究室：100224台北市中正區濟南路1段3之1號2117室,http://www.ly.gov.tw//Images/Legislators/110012.jpg,否,,,
